,incident_date
0,2008-01-13
1,2008-01-13
2,2008-01-13
3,2008-01-13
4,2008-01-13
5,2008-01-13
6,2008-01-13
7,2008-01-13
8,2008-01-14
9,2008-01-14
10,2008-01-14
11,2008-01-13
12,2008-01-14
13,2008-01-13
14,2008-01-12
15,2008-01-14
16,2008-01-14
17,2008-01-14
18,2008-01-14
19,2008-01-14
20,2008-01-04
21,2008-01-15
22,2008-01-14
23,2008-01-15
24,2008-01-15
25,2008-01-15
26,2008-01-14
27,2008-01-15
28,2008-01-15
29,2008-01-11
30,2008-01-15
31,2008-01-16
32,2008-01-12
33,2008-01-15
34,2008-01-15
35,2008-01-16
36,2008-01-16
37,2008-01-16
38,2008-01-16
39,2008-01-16
40,2008-01-13
41,2008-01-13
42,2008-01-16
43,2008-01-16
44,2008-01-12
45,2008-01-16
46,2008-01-16
47,2008-01-17
48,2008-01-17
49,2008-01-15
50,2008-01-15
51,2008-01-17
52,2008-01-15
53,2008-01-17
54,2008-01-17
55,2008-01-17
56,2008-01-18
57,2008-01-18
58,2008-01-17
59,2008-01-18
60,2008-01-18
61,2008-01-18
62,2008-01-18
63,2008-01-18
64,2008-01-18
65,2008-01-19
66,2008-01-19
67,2008-01-20
68,2008-01-21
69,2008-01-21
70,2008-01-18
71,2008-01-19
72,2008-01-16
73,2008-01-16
74,2008-01-19
75,2008-01-19
76,2008-01-19
77,2008-01-19
78,2008-01-19
79,2008-01-19
80,2008-01-20
81,2008-01-19
82,2008-01-20
83,2008-01-20
84,2008-01-20
85,2008-01-20
86,2008-01-20
87,2008-01-20
88,2008-01-20
89,2008-01-18
90,2008-01-19
91,2008-01-18
92,2008-01-21
93,2008-01-21
94,2008-01-21
95,2008-01-21
96,2008-01-18
97,2008-01-21
98,2008-01-21
99,2008-01-21
100,2008-01-21
101,2008-01-21
102,2008-01-21
103,2008-01-21
104,2008-01-21
105,2008-01-21
106,2008-01-21
107,2008-01-21
108,2008-01-22
109,2008-01-21
110,2008-01-22
111,2008-01-22
112,2008-01-22
113,2008-01-22
114,2008-01-22
115,2008-01-22
116,2008-01-22
117,2008-01-21
118,2008-01-22
119,2008-01-22
120,2008-01-22
121,2008-01-22
122,2008-01-17
123,2008-01-22
124,2008-01-22
125,2008-01-10
126,2008-01-22
127,2008-01-20
128,2008-01-22
129,2008-01-19
130,2008-01-22
131,2008-01-23
132,2008-01-22
133,2008-01-22
134,2008-01-22
135,2008-01-23
136,2008-01-23
137,2008-01-22
138,2008-01-23
139,2008-01-23
140,2008-01-23
141,2008-01-23
142,2008-01-23
143,2008-01-23
144,2008-01-23
145,2008-01-23
146,2008-01-23
147,2008-01-23
148,2008-01-23
149,2008-01-23
150,2008-01-24
151,2008-01-23
152,2008-01-24
153,2008-01-24
154,2008-01-03
155,2008-01-24
156,2008-01-24
157,2008-01-24
158,2008-01-20
159,2008-01-22
160,2008-01-24
161,2008-01-24
162,2008-01-24
163,2008-01-24
164,2008-01-25
165,2008-01-25
166,2008-01-25
167,2008-01-24
168,2008-01-25
169,2008-01-25
170,2008-01-25
171,2008-01-25
172,2008-01-25
173,2008-01-25
174,2008-01-25
175,2008-01-26
176,2008-01-26
177,2008-01-25
178,2008-01-26
179,2008-01-26
180,2008-01-26
181,2008-01-26
182,2008-01-26
183,2008-01-26
184,2008-01-25
185,2008-01-26
186,2008-01-26
187,2008-01-26
188,2008-01-26
189,2008-01-26
190,2008-01-26
191,2008-01-26
192,2008-01-26
193,2008-01-25
194,2008-01-25
195,2008-01-26
196,2008-01-26
197,2008-01-26
198,2008-01-26
199,2008-01-26
200,2008-01-27
201,2008-01-26
202,2008-01-27
203,2008-01-27
204,2008-01-27
205,2008-01-27
206,2008-01-27
207,2008-01-26
208,2008-01-27
209,2008-01-27
210,2008-01-27
211,2008-01-27
212,2008-01-27
213,2008-01-27
214,2008-01-27
215,2008-01-27
216,2008-01-28
217,2008-01-27
218,2008-01-26
219,2008-01-28
220,2008-01-28
221,2008-01-26
222,2008-01-28
223,2008-01-28
224,2008-01-08
225,2008-01-07
226,2008-01-08
227,2008-01-07
228,2008-01-08
229,2008-01-07
230,2008-01-08
231,2008-01-08
232,2008-01-08
233,2008-01-08
234,2008-01-08
235,2008-01-07
236,2008-01-08
237,2008-01-07
238,2008-01-08
239,2008-01-08
240,2008-01-08
241,2008-01-08
242,2008-01-07
243,2008-01-08
244,2008-01-08
245,2008-01-08
246,2008-01-08
247,2008-01-08
248,2008-01-08
249,2008-01-08
250,2008-01-08
251,2008-01-08
252,2008-01-08
253,2008-01-08
254,2008-01-09
255,2008-01-09
256,2008-01-09
257,2008-01-09
258,2008-01-09
259,2008-01-08
260,2008-01-09
261,2008-01-06
262,2008-01-09
263,2008-01-09
264,2008-01-09
265,2008-01-09
266,2008-01-09
267,2008-01-09
268,2008-01-07
269,2008-01-10
270,2008-01-10
271,2008-01-10
272,2008-01-10
273,2008-01-09
274,2008-01-10
275,2008-01-10
276,2008-01-10
277,2008-01-09
278,2008-01-10
279,2008-01-10
280,2008-01-10
281,2008-01-10
282,2008-01-10
283,2008-01-10
284,2008-01-10
285,2008-01-11
286,2008-01-01
287,2008-01-11
288,2008-01-11
289,2008-01-09
290,2008-01-11
291,2008-01-07
292,2008-01-11
293,2008-01-11
294,2008-01-11
295,2008-01-11
296,2008-01-12
297,2008-01-12
298,2008-01-12
299,2008-01-12
300,2008-01-12
301,2008-01-12
302,2008-01-12
303,2008-01-12
304,2008-01-12
305,2008-01-12
306,2008-01-12
307,2008-01-12
308,2008-01-13
309,2008-01-13
310,2008-01-13
311,2008-01-13
312,2008-01-13
313,2008-01-13
314,2008-01-12
315,2008-01-01
316,2008-01-01
317,2008-01-01
318,2008-01-01
319,2008-01-01
320,2008-01-01
321,2008-01-01
322,2008-01-01
323,2008-01-01
324,2008-01-01
325,2008-01-01
326,2008-01-01
327,2008-01-01
328,2008-01-01
329,2008-01-01
330,2008-01-01
331,2008-01-01
332,2008-01-01
333,2008-01-01
334,2008-01-01
335,2008-01-01
336,2008-01-01
337,2008-01-01
338,2008-01-01
339,2008-01-02
340,2008-01-02
341,2008-01-02
342,2008-01-02
343,2008-01-02
344,2008-01-02
345,2008-01-02
346,2008-01-02
347,2008-01-03
348,2008-01-03
349,2008-01-02
350,2008-01-03
351,2008-01-03
352,2008-01-03
353,2008-01-02
354,2008-01-03
355,2008-01-03
356,2008-01-03
357,2008-01-03
358,2008-01-03
359,2008-01-03
360,2008-01-03
361,2008-01-03
362,2008-01-03
363,2008-01-04
364,2008-01-04
365,2008-01-04
366,2008-01-04
367,2008-01-03
368,2008-01-04
369,2008-01-04
370,2008-01-04
371,2008-01-04
372,2008-01-04
373,2008-01-04
374,2008-01-04
375,2008-01-04
376,2008-01-05
377,2008-01-05
378,2008-01-05
379,2008-01-05
380,2008-01-05
381,2008-01-05
382,2008-01-05
383,2008-01-05
384,2008-01-05
385,2008-01-03
386,2008-01-05
387,2008-01-05
388,2008-01-05
389,2008-01-05
390,2008-01-05
391,2008-01-05
392,2008-01-05
393,2008-01-05
394,2008-01-05
395,2008-01-05
396,2008-01-05
397,2008-01-05
398,2008-01-05
399,2008-01-06
400,2008-01-06
401,2008-01-06
402,2008-01-06
403,2008-01-06
404,2008-01-05
405,2008-01-06
406,2008-01-06
407,2008-01-06
408,2008-01-06
409,2008-01-06
410,2008-01-06
411,2008-01-06
412,2008-01-06
413,2008-01-07
414,2008-01-07
415,2008-01-07
416,2008-01-07
417,2008-01-07
418,2008-01-07
419,2008-01-07
420,2008-01-07
421,2008-01-07
422,2008-01-07
423,2008-01-07
424,2008-01-07
425,2008-01-07
426,2008-01-07
427,2008-01-07
428,2008-01-07
429,2008-01-07
430,2008-01-07
431,2008-01-07
432,2008-01-07
433,2008-01-07
434,2008-01-08
435,2008-01-08
436,2008-01-28
437,2008-01-28
438,2008-01-28
439,2008-01-28
440,2008-01-28
441,2008-01-28
442,2008-01-28
443,2008-01-28
444,2008-01-28
445,2008-01-25
446,2008-01-28
447,2008-01-28
448,2008-01-28
449,2008-01-28
450,2008-01-27
451,2008-01-28
452,2008-01-29
453,2008-01-29
454,2008-01-28
455,2008-01-29
456,2008-01-29
457,2008-01-29
458,2008-01-27
459,2008-01-29
460,2008-01-17
461,2008-01-29
462,2008-01-29
463,2008-01-29
464,2008-01-29
465,2008-01-29
466,2008-01-29
467,2008-01-29
468,2008-01-29
469,2008-01-29
470,2008-01-30
471,2008-01-30
472,2008-01-30
473,2008-01-30
474,2008-01-30
475,2008-01-30
476,2008-01-30
477,2008-01-30
478,2008-01-30
479,2008-01-30
480,2008-01-30
481,2008-01-30
482,2008-01-30
483,2008-01-31
484,2008-01-31
485,2008-01-31
486,2008-01-30
487,2008-01-14
488,2008-01-09
489,2008-01-31
490,2008-01-31
491,2008-01-30
492,2008-01-31
493,2008-01-31
494,2008-01-31
495,2008-01-31
496,2008-01-31
497,2008-01-31
498,2008-01-31
499,2008-02-13
500,2008-02-13
501,2008-02-14
502,2008-02-14
503,2008-02-14
504,2008-02-13
505,2008-02-14
506,2008-02-13
507,2008-02-14
508,2008-02-14
509,2008-02-14
510,2008-02-14
511,2008-02-14
512,2008-02-14
513,2008-02-14
514,2008-02-14
515,2008-02-10
516,2008-02-15
517,2008-02-15
518,2008-02-15
519,2008-02-15
520,2008-02-14
521,2008-02-14
522,2008-02-14
523,2008-02-15
524,2008-02-15
525,2008-02-15
526,2008-02-23
527,2008-02-23
528,2008-02-21
529,2008-02-23
530,2008-02-24
531,2008-02-24
532,2008-02-24
533,2008-02-24
534,2008-02-23
535,2008-02-24
536,2008-02-18
537,2008-02-24
538,2008-02-15
539,2008-02-15
540,2008-02-15
541,2008-02-14
542,2008-02-14
543,2008-02-15
544,2008-02-15
545,2008-02-15
546,2008-02-15
547,2008-02-05
548,2008-02-14
549,2008-02-15
550,2008-02-15
551,2008-02-15
552,2008-02-15
553,2008-02-16
554,2008-02-16
555,2008-02-16
556,2008-02-16
557,2008-02-15
558,2008-02-16
559,2008-02-15
560,2008-02-09
561,2008-02-16
562,2008-02-16
563,2008-02-15
564,2008-02-16
565,2008-02-16
566,2008-02-16
567,2008-02-16
568,2008-02-17
569,2008-02-10
570,2008-02-16
571,2008-02-09
572,2008-02-17
573,2008-02-17
574,2008-02-17
575,2008-02-16
576,2008-02-17
577,2008-02-02
578,2008-02-17
579,2008-02-17
580,2008-02-17
581,2008-02-17
582,2008-02-17
583,2008-02-17
584,2008-02-17
585,2008-02-17
586,2008-02-17
587,2008-02-18
588,2008-02-18
589,2008-02-18
590,2008-02-18
591,2008-02-17
592,2008-02-17
593,2008-02-18
594,2008-02-18
595,2008-02-18
596,2008-02-17
597,2008-02-18
598,2008-02-18
599,2008-02-18
600,2008-02-18
601,2008-02-17
602,2008-02-18
603,2008-02-18
604,2008-02-18
605,2008-02-19
606,2008-02-18
607,2008-02-18
608,2008-02-19
609,2008-02-19
610,2008-02-15
611,2008-02-19
612,2008-02-19
613,2008-02-19
614,2008-02-11
615,2008-02-19
616,2008-02-18
617,2008-02-19
618,2008-02-19
619,2008-02-19
620,2008-02-20
621,2008-02-20
622,2008-02-20
623,2008-02-02
624,2008-02-20
625,2008-02-19
626,2008-02-20
627,2008-02-18
628,2008-02-20
629,2008-02-20
630,2008-02-18
631,2008-02-20
632,2008-02-20
633,2008-02-20
634,2008-02-18
635,2008-02-20
636,2008-02-20
637,2008-02-20
638,2008-02-20
639,2008-02-20
640,2008-02-21
641,2008-02-20
642,2008-02-20
643,2008-02-17
644,2008-02-21
645,2008-02-07
646,2008-02-21
647,2008-02-21
648,2008-02-19
649,2008-02-21
650,2008-02-21
651,2008-02-20
652,2008-02-21
653,2008-02-21
654,2008-02-21
655,2008-02-21
656,2008-02-21
657,2008-02-17
658,2008-02-21
659,2008-02-21
660,2008-02-22
