,incident_date
0,2010-01-01
1,2010-01-01
2,2010-01-01
3,2010-01-01
4,2010-01-01
5,2010-01-01
6,2010-01-01
7,2010-01-01
8,2010-01-01
9,2010-01-01
10,2010-01-01
11,2010-01-01
12,2010-01-01
13,2010-01-01
14,2010-01-01
15,2010-01-01
16,2010-01-01
17,2010-01-01
18,2010-01-01
19,2010-01-01
20,2010-01-01
21,2010-01-01
22,2010-01-01
23,2010-01-01
24,2010-01-02
25,2010-01-02
26,2010-01-02
27,2010-01-01
28,2010-01-01
29,2010-01-02
30,2010-01-02
31,2010-01-01
32,2010-01-02
33,2010-01-02
34,2010-01-02
35,2010-01-02
36,2010-01-02
37,2010-01-02
38,2010-01-02
39,2010-01-02
40,2010-01-02
41,2010-01-02
42,2010-01-02
43,2010-01-02
44,2010-01-02
45,2010-01-03
46,2010-01-03
47,2010-01-03
48,2010-01-03
49,2010-01-03
50,2010-01-03
51,2010-01-03
52,2010-01-03
53,2010-01-03
54,2010-01-02
55,2010-01-03
56,2010-01-03
57,2010-01-03
58,2010-01-02
59,2010-01-03
60,2010-01-03
61,2010-01-03
62,2010-01-04
63,2010-01-04
64,2010-01-04
65,2010-01-02
66,2010-01-03
67,2010-01-03
68,2010-01-02
69,2010-01-04
70,2010-01-04
71,2010-01-04
72,2010-01-04
73,2010-01-05
74,2010-01-01
75,2010-01-05
76,2010-01-05
77,2010-01-05
78,2010-01-05
79,2010-01-03
80,2010-01-05
81,2010-01-05
82,2010-01-05
83,2010-01-05
84,2010-01-05
85,2010-01-05
86,2010-01-05
87,2010-01-04
88,2010-01-05
89,2010-01-05
90,2010-01-06
91,2010-01-06
92,2010-01-06
93,2010-01-06
94,2010-01-06
95,2010-01-06
96,2010-01-06
97,2010-01-06
98,2010-01-06
99,2010-01-07
100,2010-01-06
101,2010-01-07
102,2010-01-07
103,2010-01-07
104,2010-01-04
105,2010-01-07
106,2010-01-07
107,2010-01-04
108,2010-01-07
109,2010-01-07
110,2010-01-07
111,2010-01-07
112,2010-01-08
113,2010-01-08
114,2010-01-08
115,2010-01-08
116,2010-01-08
117,2010-01-08
118,2010-01-08
119,2010-01-08
120,2010-01-08
121,2010-01-14
122,2010-01-19
123,2010-01-21
124,2010-01-21
125,2010-01-14
126,2010-01-15
127,2010-01-21
128,2010-01-17
129,2010-01-21
130,2010-01-21
131,2010-01-21
132,2010-01-21
133,2010-01-21
134,2010-01-20
135,2010-01-21
136,2010-01-21
137,2010-01-21
138,2010-01-21
139,2010-01-20
140,2010-01-25
141,2010-01-24
142,2010-01-18
143,2010-01-24
144,2010-01-25
145,2010-01-25
146,2010-01-23
147,2010-01-09
148,2010-01-09
149,2010-01-09
150,2010-01-01
151,2010-01-09
152,2010-01-09
153,2010-01-09
154,2010-01-09
155,2010-01-09
156,2010-01-09
157,2010-01-09
158,2010-01-09
159,2010-01-09
160,2010-01-09
161,2010-01-10
162,2010-01-09
163,2010-01-03
164,2010-01-08
165,2010-01-10
166,2010-01-07
167,2010-01-10
168,2010-01-10
169,2010-01-02
170,2010-01-10
171,2010-01-11
172,2010-01-10
173,2010-01-11
174,2010-01-11
175,2010-01-11
176,2010-01-11
177,2010-01-06
178,2010-01-11
179,2010-01-09
180,2010-01-13
181,2010-01-14
182,2010-01-13
183,2010-01-14
184,2010-01-10
185,2010-01-14
186,2010-01-14
187,2010-01-14
188,2010-01-15
189,2010-01-15
190,2010-01-14
191,2010-01-15
192,2010-01-14
193,2010-01-15
194,2010-01-15
195,2010-01-15
196,2010-01-14
197,2010-01-15
198,2010-01-19
199,2010-01-19
200,2010-01-17
201,2010-01-19
202,2010-01-19
203,2010-01-19
204,2010-01-12
205,2010-01-19
206,2010-01-19
207,2010-01-19
208,2010-01-19
209,2010-01-19
210,2010-01-19
211,2010-01-19
212,2010-01-19
213,2010-01-19
214,2010-01-19
215,2010-01-19
216,2010-01-20
217,2010-01-20
218,2010-01-12
219,2010-01-19
220,2010-01-20
221,2010-01-20
222,2010-01-20
223,2010-01-20
224,2010-01-20
225,2010-01-20
226,2010-01-20
227,2010-01-21
228,2010-01-21
229,2010-01-20
230,2010-01-20
231,2010-01-20
232,2010-01-20
233,2010-01-20
234,2010-01-21
235,2010-01-21
236,2010-01-21
237,2010-01-21
238,2010-01-21
239,2010-01-21
240,2010-01-21
241,2010-01-21
242,2010-01-22
243,2010-01-22
244,2010-01-22
245,2010-01-22
246,2010-01-22
247,2010-01-15
248,2010-01-22
249,2010-01-22
250,2010-01-22
251,2010-01-22
252,2010-01-19
253,2010-01-22
254,2010-01-15
255,2010-01-22
256,2010-01-22
257,2010-01-22
258,2010-01-22
259,2010-01-22
260,2010-01-22
261,2010-01-22
262,2010-01-22
263,2010-01-22
264,2010-01-23
265,2010-01-23
266,2010-01-23
267,2010-01-23
268,2010-01-23
269,2010-01-23
270,2010-01-23
271,2010-01-23
272,2010-01-23
273,2010-01-23
274,2010-01-23
275,2010-01-24
276,2010-01-24
277,2010-01-17
278,2010-01-23
279,2010-01-23
280,2010-01-24
281,2010-01-24
282,2010-01-24
283,2010-01-24
284,2010-01-24
285,2010-01-17
286,2010-01-24
287,2010-01-18
288,2010-01-24
289,2010-01-24
290,2010-01-24
291,2010-01-24
292,2010-01-24
293,2010-01-25
294,2010-01-23
295,2010-01-24
296,2010-01-25
297,2010-01-24
298,2010-01-25
299,2010-01-12
300,2010-01-25
301,2010-01-25
302,2010-01-25
303,2010-01-25
304,2010-01-25
305,2010-01-10
306,2010-01-26
307,2010-01-24
308,2010-01-26
309,2010-01-26
310,2010-01-26
311,2010-01-26
312,2010-01-27
313,2010-01-26
314,2010-01-26
315,2010-01-27
316,2010-01-26
317,2010-01-09
318,2010-01-27
319,2010-01-26
320,2010-01-09
321,2010-01-27
322,2010-01-26
323,2010-01-26
324,2010-01-26
325,2010-01-27
326,2010-01-27
327,2010-01-25
328,2010-01-20
329,2010-01-11
330,2010-01-11
331,2010-01-11
332,2010-01-11
333,2010-01-11
334,2010-01-11
335,2010-01-11
336,2010-01-12
337,2010-01-10
338,2010-01-12
339,2010-01-12
340,2010-01-12
341,2010-01-11
342,2010-01-12
343,2010-01-12
344,2010-01-12
345,2010-01-12
346,2010-01-05
347,2010-01-12
348,2010-01-12
349,2010-01-12
350,2010-01-13
351,2010-01-13
352,2010-01-13
353,2010-01-12
354,2010-01-12
355,2010-01-12
356,2010-01-13
357,2010-01-13
358,2010-01-11
359,2010-01-13
360,2010-01-13
361,2010-01-11
362,2010-01-13
363,2010-01-13
364,2010-01-13
365,2010-01-13
366,2010-01-13
367,2010-01-13
368,2010-01-13
369,2010-01-13
370,2010-01-13
371,2010-01-14
372,2010-01-14
373,2010-01-15
374,2010-01-13
375,2010-01-15
376,2010-01-15
377,2010-01-15
378,2010-01-15
379,2010-01-16
380,2010-01-16
381,2010-01-15
382,2010-01-15
383,2010-01-15
384,2010-01-16
385,2010-01-15
386,2010-01-15
387,2010-01-15
388,2010-01-16
389,2010-01-16
390,2010-01-15
391,2010-01-16
392,2010-01-16
393,2010-01-16
394,2010-01-16
395,2010-01-16
396,2010-01-16
397,2010-01-16
398,2010-01-16
399,2010-01-15
400,2010-01-17
401,2010-01-17
402,2010-01-16
403,2010-01-17
404,2010-01-17
405,2010-01-17
406,2010-01-17
407,2010-01-16
408,2010-01-17
409,2010-01-17
410,2010-01-16
411,2010-01-16
412,2010-01-17
413,2010-01-17
414,2010-01-17
415,2010-01-18
416,2010-01-18
417,2010-01-17
418,2010-01-17
419,2010-01-17
420,2010-01-18
421,2010-01-18
422,2010-01-18
423,2010-01-17
424,2010-01-18
425,2010-01-18
426,2010-01-17
427,2010-01-18
428,2010-01-18
429,2010-01-18
430,2010-01-18
431,2010-01-19
432,2010-01-19
433,2010-01-19
434,2010-01-19
435,2010-01-19
436,2010-01-27
437,2010-01-27
438,2010-01-27
439,2010-01-27
440,2010-01-27
441,2010-01-28
442,2010-01-27
443,2010-01-27
444,2010-01-27
445,2010-01-27
446,2010-01-27
447,2010-01-27
448,2010-01-28
449,2010-01-28
450,2010-01-27
451,2010-01-27
452,2010-01-28
453,2010-01-27
454,2010-01-27
455,2010-01-28
456,2010-01-28
457,2010-01-27
458,2010-01-28
459,2010-01-28
460,2010-01-28
461,2010-01-28
462,2010-01-28
463,2010-01-28
464,2010-01-28
465,2010-01-24
466,2010-01-28
467,2010-01-28
468,2010-01-28
469,2010-01-28
