,incident_date
0,2011-01-13
1,2011-01-07
2,2011-01-12
3,2011-01-13
4,2011-01-13
5,2011-01-07
6,2011-01-07
7,2011-01-07
8,2011-01-08
9,2011-01-13
10,2011-01-13
11,2011-01-11
12,2011-01-12
13,2011-01-13
14,2011-01-13
15,2011-01-13
16,2011-01-13
17,2011-01-13
18,2011-01-14
19,2011-01-14
20,2011-01-10
21,2011-01-14
22,2011-01-14
23,2011-01-14
24,2011-01-14
25,2011-01-13
26,2011-01-14
27,2011-01-14
28,2011-01-14
29,2011-01-14
30,2011-01-14
31,2011-01-15
32,2011-01-15
33,2011-01-15
34,2011-01-14
35,2011-01-10
36,2011-01-14
37,2011-01-15
38,2011-01-15
39,2011-01-15
40,2011-01-15
41,2011-01-15
42,2011-01-15
43,2011-01-15
44,2011-01-15
45,2011-01-15
46,2011-01-15
47,2011-01-16
48,2011-01-16
49,2011-01-16
50,2011-01-16
51,2011-01-16
52,2011-01-16
53,2011-01-16
54,2011-01-15
55,2011-01-09
56,2011-01-15
57,2011-01-16
58,2011-01-16
59,2011-01-16
60,2011-01-17
61,2011-01-17
62,2011-01-17
63,2011-01-17
64,2011-01-14
65,2011-01-13
66,2011-01-17
67,2011-01-17
68,2011-01-15
69,2011-01-14
70,2011-01-17
71,2011-01-18
72,2011-01-17
73,2011-01-18
74,2011-01-18
75,2011-01-15
76,2011-01-18
77,2011-01-18
78,2011-01-18
79,2011-01-18
80,2011-01-18
81,2011-01-18
82,2011-01-18
83,2011-01-18
84,2011-01-18
85,2011-01-11
86,2011-01-19
87,2011-01-19
88,2011-01-19
89,2011-01-19
90,2011-01-19
91,2011-01-19
92,2011-01-19
93,2011-01-19
94,2011-01-19
95,2011-01-20
96,2011-01-20
97,2011-01-20
98,2011-01-20
99,2011-01-20
100,2011-01-20
101,2011-01-20
102,2011-01-21
103,2011-01-21
104,2011-01-20
105,2011-01-21
106,2011-01-21
107,2011-01-20
108,2011-01-21
109,2011-01-20
110,2011-01-21
111,2011-01-21
112,2011-01-21
113,2011-01-22
114,2011-01-22
115,2011-01-22
116,2011-01-22
117,2011-01-21
118,2011-01-22
119,2011-01-22
120,2011-01-22
121,2011-01-22
122,2011-01-22
123,2011-01-22
124,2011-01-22
125,2011-01-23
126,2011-01-22
127,2011-01-23
128,2011-01-23
129,2011-01-23
130,2011-01-23
131,2011-01-23
132,2011-01-23
133,2011-01-23
134,2011-01-23
135,2011-01-23
136,2011-01-24
137,2011-01-24
138,2011-01-24
139,2011-01-23
140,2011-01-24
141,2011-01-24
142,2011-01-24
143,2011-01-22
144,2011-01-24
145,2011-01-24
146,2011-01-24
147,2011-01-25
148,2011-01-18
149,2011-01-25
150,2011-01-19
151,2011-01-25
152,2011-01-25
153,2011-01-25
154,2011-01-25
155,2011-01-25
156,2011-01-26
157,2011-01-25
158,2011-01-01
159,2011-01-01
160,2011-01-01
161,2011-01-01
162,2011-01-01
163,2011-01-02
164,2011-01-02
165,2011-01-02
166,2011-01-02
167,2011-01-03
168,2011-01-03
169,2011-01-03
170,2011-01-03
171,2011-01-02
172,2011-01-03
173,2011-01-02
174,2011-01-03
175,2011-01-03
176,2011-01-03
177,2011-01-03
178,2011-01-03
179,2011-01-03
180,2011-01-03
181,2011-01-03
182,2011-01-03
183,2011-01-03
184,2011-01-03
185,2011-01-01
186,2011-01-01
187,2011-01-01
188,2011-01-01
189,2011-01-01
190,2011-01-01
191,2011-01-01
192,2011-01-01
193,2011-01-01
194,2011-01-01
195,2011-01-02
196,2011-01-02
197,2011-01-02
198,2011-01-02
199,2011-01-02
200,2011-01-02
201,2011-01-02
202,2011-01-03
203,2011-01-04
204,2011-01-04
205,2011-01-04
206,2011-01-03
207,2011-01-04
208,2011-01-01
209,2011-01-04
210,2011-01-04
211,2011-01-04
