,incident_date
0,2009-01-13
1,2009-01-26
2,2009-01-26
3,2009-01-26
4,2009-01-13
5,2009-01-26
6,2009-01-22
7,2009-01-26
8,2009-01-26
9,2009-01-24
10,2009-01-06
11,2009-01-26
12,2009-01-26
13,2009-01-26
14,2009-01-26
15,2009-01-26
16,2009-01-26
17,2009-01-27
18,2009-01-26
19,2009-01-27
20,2009-01-24
21,2009-01-27
22,2009-01-27
23,2009-01-24
24,2009-01-27
25,2009-01-27
26,2009-01-26
27,2009-01-27
28,2009-01-28
29,2009-01-28
30,2009-01-28
31,2009-01-28
32,2009-01-28
33,2009-01-28
34,2009-01-28
35,2009-01-28
36,2009-01-27
37,2009-01-13
38,2009-01-28
39,2009-01-28
40,2009-01-28
41,2009-01-29
42,2009-01-29
43,2009-01-08
44,2009-01-29
45,2009-01-29
46,2009-01-29
47,2009-01-22
48,2009-01-29
49,2009-01-29
50,2009-01-29
51,2009-01-29
52,2009-01-29
53,2009-01-29
54,2009-01-16
55,2009-01-30
56,2009-01-30
57,2009-01-30
58,2009-01-30
59,2009-01-29
60,2009-01-30
61,2009-01-29
62,2009-01-30
63,2009-01-30
64,2009-01-30
65,2009-01-30
66,2009-01-30
67,2009-01-30
68,2009-01-30
69,2009-01-30
70,2009-01-30
71,2009-01-30
72,2009-01-30
73,2009-01-30
74,2009-01-30
75,2009-01-30
76,2009-01-30
77,2009-01-30
78,2009-01-17
79,2009-01-31
80,2009-01-31
81,2009-01-31
82,2009-01-31
83,2009-01-31
84,2009-01-31
85,2009-01-31
86,2009-01-31
87,2009-01-31
88,2009-01-31
89,2009-01-15
90,2009-01-15
91,2009-01-16
92,2009-01-16
93,2009-01-15
94,2009-01-15
95,2009-01-15
96,2009-01-16
97,2009-01-12
98,2009-01-10
99,2009-01-15
100,2009-01-16
101,2009-01-13
102,2009-01-16
103,2009-01-16
104,2009-01-16
105,2009-01-16
106,2009-01-16
107,2009-01-16
108,2009-01-15
109,2009-01-16
110,2009-01-17
111,2009-01-17
112,2009-01-17
113,2009-01-16
114,2009-01-16
115,2009-01-17
116,2009-01-17
117,2009-01-17
118,2009-01-17
119,2009-01-17
120,2009-01-16
121,2009-01-17
122,2009-01-17
123,2009-01-17
124,2009-01-17
125,2009-01-17
126,2009-01-17
127,2009-01-18
128,2009-01-18
129,2009-01-18
130,2009-01-18
131,2009-01-16
132,2009-01-16
133,2009-01-18
134,2009-01-18
135,2009-01-18
136,2009-01-17
137,2009-01-18
138,2009-01-19
139,2009-01-18
140,2009-01-19
141,2009-01-17
142,2009-01-19
143,2009-01-18
144,2009-01-19
145,2009-01-19
146,2009-01-20
147,2009-01-20
148,2009-01-20
149,2009-01-20
150,2009-01-20
151,2009-01-20
152,2009-01-20
153,2009-01-20
154,2009-01-20
155,2009-01-20
156,2009-01-20
157,2009-01-20
158,2009-01-20
159,2009-01-20
160,2009-01-21
161,2009-01-21
162,2009-01-21
163,2009-01-21
164,2009-01-20
165,2009-01-21
166,2009-01-03
167,2009-01-21
168,2009-01-21
169,2009-01-16
170,2009-01-21
171,2009-01-18
172,2009-01-19
173,2009-01-20
174,2009-01-20
175,2009-01-20
176,2009-01-21
177,2009-01-22
178,2009-01-22
179,2009-01-22
180,2009-01-21
181,2009-01-22
182,2009-01-22
183,2009-01-22
184,2009-01-22
185,2009-01-20
186,2009-01-22
187,2009-01-20
188,2009-01-16
189,2009-01-16
190,2009-01-21
191,2009-01-22
192,2009-01-22
193,2009-01-22
194,2009-01-22
195,2009-01-22
196,2009-01-22
197,2009-01-22
198,2009-01-23
199,2009-01-23
200,2009-01-22
201,2009-01-23
202,2009-01-22
203,2009-01-22
204,2009-01-22
205,2009-01-23
206,2009-01-21
207,2009-01-21
208,2009-01-23
209,2009-01-23
210,2009-01-23
211,2009-01-23
212,2009-01-23
213,2009-01-23
214,2009-01-23
215,2009-01-24
216,2009-01-24
217,2009-01-23
218,2009-01-24
219,2009-01-24
220,2009-01-23
221,2009-01-24
222,2009-01-23
223,2009-01-23
224,2009-01-24
225,2009-01-20
226,2009-01-24
227,2009-01-24
228,2009-01-24
229,2009-01-24
230,2009-01-24
231,2009-01-24
232,2009-01-25
233,2009-01-25
234,2009-01-25
235,2009-01-25
236,2009-01-23
237,2009-01-25
238,2009-01-25
239,2009-01-25
240,2009-01-25
241,2009-01-25
242,2009-01-25
243,2009-01-26
244,2009-01-26
245,2009-01-26
246,2009-01-24
247,2009-01-05
248,2009-01-05
249,2009-01-05
250,2009-01-05
251,2009-01-05
252,2009-01-05
253,2009-01-04
254,2009-01-05
255,2009-01-05
256,2009-01-05
257,2009-01-06
258,2009-01-05
259,2009-01-06
260,2009-01-06
261,2009-01-05
262,2009-01-06
263,2009-01-06
264,2009-01-06
265,2009-01-06
266,2009-01-06
267,2009-01-06
268,2009-01-06
269,2009-01-06
270,2009-01-06
271,2009-01-07
272,2009-01-06
273,2009-01-07
274,2009-01-06
275,2009-01-07
276,2009-01-07
277,2009-01-01
278,2009-01-05
279,2009-01-05
280,2009-01-07
281,2009-01-07
282,2009-01-08
283,2009-01-08
284,2009-01-08
285,2009-01-08
286,2009-01-07
287,2009-01-08
288,2009-01-07
289,2009-01-08
290,2009-01-08
291,2009-01-08
292,2009-01-09
293,2009-01-09
294,2009-01-09
295,2009-01-09
296,2009-01-09
297,2009-01-09
298,2009-01-09
299,2009-01-09
300,2009-01-09
301,2009-01-09
302,2009-01-09
303,2009-01-09
304,2009-01-09
305,2009-01-09
306,2009-01-09
307,2009-01-09
308,2009-01-08
309,2009-01-08
310,2009-01-08
311,2009-01-08
312,2009-01-09
313,2009-01-09
314,2009-01-09
