,incident_date
0,2005-01-16
1,2005-01-16
2,2005-01-15
3,2005-01-14
4,2005-01-15
5,2005-01-16
6,2005-01-16
7,2005-01-15
8,2005-01-15
9,2005-01-16
10,2005-01-16
11,2005-01-17
12,2005-01-17
13,2005-01-17
14,2005-01-17
15,2005-01-17
16,2005-01-17
17,2005-01-17
18,2005-01-17
19,2005-01-18
20,2005-01-18
21,2005-01-18
22,2005-01-17
23,2005-01-18
24,2005-01-18
25,2005-01-18
26,2005-01-18
27,2005-01-18
28,2005-01-18
29,2005-01-18
30,2005-01-18
31,2005-01-18
32,2005-01-18
33,2005-01-17
34,2005-01-18
35,2005-01-18
36,2005-01-14
37,2005-01-18
38,2005-01-19
39,2005-01-18
40,2005-01-19
41,2005-01-19
42,2005-01-19
43,2005-01-01
44,2005-01-19
45,2005-01-19
46,2005-01-19
47,2005-01-18
48,2005-01-19
49,2005-01-19
50,2005-01-19
51,2005-01-19
52,2005-01-19
53,2005-01-19
54,2005-01-19
55,2005-01-19
56,2005-01-19
57,2005-01-20
58,2005-01-20
59,2005-01-20
60,2005-01-19
61,2005-01-19
62,2005-01-19
63,2005-01-09
64,2005-01-20
65,2005-01-20
66,2005-01-20
67,2005-01-20
68,2005-01-20
69,2005-01-20
70,2005-01-20
71,2005-01-20
72,2005-01-20
73,2005-01-21
74,2005-01-19
75,2005-01-20
76,2005-01-21
77,2005-01-20
78,2005-01-21
79,2005-01-21
80,2005-01-21
81,2005-01-22
82,2005-01-22
83,2005-01-21
84,2005-01-22
85,2005-01-22
86,2005-01-22
87,2005-01-22
88,2005-01-22
89,2005-01-22
90,2005-01-22
91,2005-01-22
92,2005-01-21
93,2005-01-22
94,2005-01-22
95,2005-01-22
96,2005-01-22
97,2005-01-22
98,2005-01-22
99,2005-01-22
100,2005-01-04
101,2005-01-03
102,2005-01-05
103,2005-01-05
104,2005-01-05
105,2005-01-04
106,2005-01-05
107,2005-01-03
108,2005-01-05
109,2005-01-05
110,2005-01-05
111,2005-01-05
112,2005-01-05
113,2005-01-05
114,2005-01-05
115,2005-01-05
116,2005-01-06
117,2005-01-05
118,2005-01-05
119,2005-01-06
120,2005-01-06
121,2005-01-04
122,2005-01-03
123,2005-01-06
124,2005-01-06
125,2005-01-06
126,2005-01-06
127,2005-01-04
128,2005-01-03
129,2005-01-06
130,2005-01-06
131,2005-01-06
132,2005-01-06
133,2005-01-06
134,2005-01-07
135,2005-01-07
136,2005-01-05
137,2005-01-07
138,2005-01-07
139,2005-01-07
140,2005-01-07
141,2005-01-07
142,2005-01-01
143,2005-01-07
144,2005-01-07
145,2005-01-06
146,2005-01-07
147,2005-01-07
148,2005-01-07
149,2005-01-07
150,2005-01-07
151,2005-01-07
152,2005-01-07
153,2005-01-08
154,2005-01-08
155,2005-01-08
156,2005-01-04
157,2005-01-08
158,2005-01-07
159,2005-01-08
160,2005-01-08
161,2005-01-08
162,2005-01-08
163,2005-01-08
164,2005-01-08
165,2005-01-08
166,2005-01-08
167,2005-01-08
168,2005-01-08
169,2005-01-08
170,2005-01-09
171,2005-01-09
172,2005-01-08
173,2005-01-09
174,2005-01-09
175,2005-01-09
176,2005-01-09
177,2005-01-09
178,2005-01-09
179,2005-01-09
180,2005-01-09
181,2005-01-10
182,2005-01-10
183,2005-01-10
184,2005-01-10
185,2005-01-09
186,2005-01-07
187,2005-01-09
188,2005-01-10
189,2005-01-09
190,2005-01-10
191,2005-01-10
192,2005-01-07
193,2005-01-10
194,2005-01-07
195,2005-01-01
196,2005-01-10
197,2005-01-10
198,2005-01-10
199,2005-01-10
200,2005-01-09
201,2005-01-10
202,2005-01-10
203,2005-01-10
204,2005-01-10
205,2005-01-10
206,2005-01-08
207,2005-01-10
208,2005-01-10
209,2005-01-10
210,2005-01-10
211,2005-01-10
212,2005-01-10
213,2005-01-11
214,2005-01-10
215,2005-01-11
216,2005-01-11
217,2005-01-10
218,2005-01-11
219,2005-01-10
220,2005-01-10
221,2005-01-10
222,2005-01-11
223,2005-01-11
224,2005-01-11
225,2005-01-11
226,2005-01-11
227,2005-01-11
228,2005-01-11
229,2005-01-07
230,2005-01-11
231,2005-01-11
232,2005-01-11
233,2005-01-11
234,2005-01-11
235,2005-01-12
236,2005-01-12
237,2005-01-12
238,2005-01-01
239,2005-01-01
240,2005-01-01
241,2005-01-01
242,2005-01-01
243,2005-01-01
244,2005-01-01
245,2005-01-01
246,2005-01-01
247,2005-01-01
248,2005-01-01
249,2005-01-01
250,2005-01-01
251,2005-01-01
252,2005-01-01
253,2005-01-03
254,2005-01-03
255,2005-01-03
256,2005-01-04
257,2005-01-04
258,2005-01-04
259,2005-01-04
260,2005-01-03
261,2005-01-04
262,2005-01-03
263,2005-01-04
264,2005-01-03
265,2005-01-03
266,2005-01-04
267,2005-01-04
268,2005-01-04
269,2005-01-03
270,2005-01-04
271,2005-01-04
272,2005-01-02
273,2005-01-04
274,2005-01-04
275,2005-01-04
276,2005-01-04
277,2005-01-03
278,2005-01-04
279,2005-01-04
280,2005-01-04
281,2005-01-04
282,2005-01-04
283,2005-01-04
284,2005-01-05
285,2005-01-03
286,2005-01-12
287,2005-01-12
288,2005-01-12
289,2005-01-10
290,2005-01-11
291,2005-01-12
292,2005-01-12
293,2005-01-02
